Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
3/23/20,26.09,26.540001,25.559999,25.83,25.83,3976800,Europe,27.8964
3/24/20,27.92,28.639999,27.530001,28.26,28.26,4228700,Europe,30.5208
3/25/20,28.469999,29.91,28.059999,29.309999,29.309999,4490200,Europe,31.65479892
3/26/20,29.440001,30.6,29.43,30.540001,30.540001,5876200,Europe,32.98320108
3/27/20,29.139999,29.809999,28.74,29.33,29.33,3741800,Europe,31.6764
3/30/20,29.190001,29.879999,29.02,29.809999,29.809999,3269600,Europe,32.19479892
3/31/20,29.52,29.799999,29.120001,29.51,29.51,4036100,Europe,31.8708
4/1/20,28.450001,28.66,27.9,28.01,28.01,4016300,Europe,30.2508
4/2/20,27.879999,28.700001,27.790001,28.42,28.42,4320800,Europe,30.6936
4/3/20,28.01,28.16,27.66,27.940001,27.940001,2229200,Europe,30.17520108
11/4/19,40293.85156,40483.21094,40186.28906,40301.96094,40301.96094,62600,India,523.9254922
11/5/19,40445.67188,40466.55078,40053.55078,40248.23047,40248.23047,45400,India,523.2269961
11/6/19,40311.85156,40606.91016,40037.53125,40469.78125,40469.78125,37700,India,526.1071563
11/7/19,40625.64063,40688.26953,40421.07031,40653.73828,40653.73828,30200,India,528.4985976
11/8/19,40630.55859,40749.32813,40263.94141,40323.60938,40323.60938,42600,India,524.2069219
11/11/19,40316.5,40417.44141,40150.96875,40345.07813,40345.07813,29500,India,524.4860157
11/13/19,40346.42969,40447.17188,40061.23047,40116.05859,40116.05859,37700,India,521.5087617
11/14/19,40178.92969,40348.60938,40026.98828,40286.48047,40286.48047,27800,India,523.7242461
11/15/19,40408.19922,40650.05859,40308.08984,40356.69141,40356.69141,25800,India,524.6369883
11/18/19,40431.07813,40542.39844,40221.96875,40284.19141,40284.19141,28700,India,523.6944883
11/19/19,40455.35938,40544.12891,40290.21094,40469.69922,40469.69922,39100,India,526.1060899
11/20/19,40729.80078,40816.37891,40575.96094,40651.64063,40651.64063,32300,India,528.4713282
11/21/19,40737.30859,40744.85156,40534.12109,40575.17188,40575.17188,21800,India,527.4772344
11/22/19,40653.17188,40653.17188,40276.82813,40359.41016,40359.41016,21700,India,524.6723321
11/25/19,40439.66016,40931.71094,40393.89844,40889.23047,40889.23047,28600,India,531.5599961
